URI,ResourceType,Methods,Actions,Status,Manufacturer,Model,PartNumber,SerialNumber,UUID
/redfish/v1,#ServiceRoot.v1_19_0.ServiceRoot,GET,,200,,,,,00000000-0000-0000-0000-7CC25590E124
/redfish/v1/,#ServiceRoot.v1_19_0.ServiceRoot,GET,,200,,,,,00000000-0000-0000-0000-7CC25590E124
/redfish/v1/AccountService,#AccountService.v1_18_0.AccountService,"GET,PATCH",,200,,,,,
/redfish/v1/AccountService/Accounts,#ManagerAccountCollection.ManagerAccountCollection,"GET,POST",,200,,,,,
/redfish/v1/AccountService/Accounts/2,#ManagerAccount.v1_14_0.ManagerAccount,"GET,PATCH,DELETE",,200,,,,,
/redfish/v1/AccountService/Roles,#RoleCollection.RoleCollection,GET,,200,,,,,
/redfish/v1/AccountService/Roles/Administrator,#Role.v1_3_2.Role,GET,,200,,,,,
/redfish/v1/AccountService/Roles/NoAccess,#Role.v1_3_2.Role,GET,,200,,,,,
/redfish/v1/AccountService/Roles/Operator,#Role.v1_3_2.Role,GET,,200,,,,,
/redfish/v1/AccountService/Roles/ReadOnly,#Role.v1_3_2.Role,GET,,200,,,,,
/redfish/v1/CertificateService,#CertificateService.v1_1_0.CertificateService,GET,"CertificateService.GenerateCSR,CertificateService.ReplaceCertificate",200,,,,,
/redfish/v1/CertificateService/CertificateLocations,#CertificateLocations.v1_0_4.CertificateLocations,GET,,200,,,,,
/redfish/v1/Chassis,#ChassisCollection.ChassisCollection,GET,,200,,,,,
/redfish/v1/Chassis/1,#Chassis.v1_27_0.Chassis,"GET,PATCH",Chassis.Reset,200,Supermicro,Super Server,,0123456789,35363031-4D53-7CC2-5590-E12400000000
/redfish/v1/Chassis/1/,#Chassis.v1_27_0.Chassis,"GET,PATCH",Chassis.Reset,200,Supermicro,Super Server,,0123456789,35363031-4D53-7CC2-5590-E12400000000
/redfish/v1/Chassis/1/Assembly,#Assembly.v1_5_1.Assembly,GET,,200,,,,,
